name distance moving_time start_date location_country average_heartrate average_speed 
华东交大孔目湖操场夜跑 0.54 04:34 2016-08-29 21:10:00 江西南昌 null 08-25
华东交大孔目湖操场夜跑 0.82 04:46 2016-09-01 21:39:00 江西南昌 null 05-46
华东交大一食堂操场夜跑 0.49 03:25 2016-10-10 21:00:00 江西南昌 null 06-56
华东交大一食堂操场夜跑 0.46 02:52 2016-10-12 20:59:00 江西南昌 null 06-02
华东交大一食堂操场夜跑 0.95 08:55 2016-10-14 21:02:00 江西南昌 null 09-20
华东交大一食堂操场夜跑 1.14 38:26 2016-10-15 20:52:00 江西南昌 null 33-41
华东交大一食堂操场夜跑 0.44 03:02 2016-10-16 21:19:00 江西南昌 null 06-52
华东交大一食堂操场夜跑 0.37 02:06 2016-11-20 18:57:00 江西南昌 null 05-26
赣榆体育馆 1.17 11:51 2017-02-05 17:03:00 江苏连云港 null 10-05
华东交大一食堂操场夜跑 1.38 11:27 2017-02-11 20:14:00 江西南昌 156 08-13
华东交大一食堂操场夜跑 1.27 07:30 2017-02-13 21:52:00 江西南昌 148 05-52
华东交大一食堂操场夜跑 0.11 01:14 2017-02-14 22:00:00 江西南昌 111 10-27
华东交大一食堂操场夜跑 2.06 11:55 2017-02-15 21:51:00 江西南昌 152 05-46
华东交大一食堂操场夜跑 2.31 14:16 2017-02-18 20:16:00 江西南昌 168 06-10
华东交大一食堂操场夜跑 1.62 09:42 2017-02-25 22:11:00 江西南昌 154 05-57
华东交大一食堂操场夜跑 2.56 16:22 2017-03-02 21:59:00 江西南昌 153 06-22
华东交大一食堂操场夜跑 1.22 08:14 2017-03-14 22:21:00 江西南昌 138 06-41
华东交大一食堂操场夜跑 1.60 12:39 2017-03-16 19:53:00 江西南昌 151 07-51
华东交大一食堂操场夜跑 1.40 08:34 2017-04-20 22:04:00 江西南昌 136 06-04
华东交大一食堂操场夜跑 2.47 14:34 2017-04-21 21:41:00 江西南昌 130 05-52
华东交大一食堂操场夜跑 1.25 08:27 2017-04-30 20:38:00 江西南昌 162 06-42
华东交大一食堂操场夜跑 1.42 09:02 2017-05-18 21:09:00 江西南昌 143 06-19
华东交大宿舍到Robot实验室 0.73 09:06 2017-05-28 17:58:00 江西南昌 112 12-17
华东交大一食堂操场夜跑 1.67 14:53 2017-05-30 20:15:00 江西南昌 141 08-54
赣榆新城夜跑 3.00 26:30 2017-06-23 20:09:00 江苏连云港 null 08-48
赣榆新城夜跑 4.54 38:57 2017-06-24 20:36:00 江苏连云港 137 08-34
赣榆新城夜跑 3.69 28:25 2017-06-26 20:12:00 江苏连云港 153 07-41
南航田径场夜跑 2.63 17:14 2017-07-06 20:34:00 江苏南京 150 06-31
南航田径场夜跑 2.57 20:04 2017-07-10 21:08:00 江苏南京 153 07-47
南航田径场夜跑 2.72 20:00 2017-07-21 21:00:00 江苏南京 151 07-20
南航田径场夜跑 2.20 15:01 2017-07-30 21:47:00 江苏南京 148 06-48
南航田径场夜跑 1.30 08:30 2017-08-29 19:21:00 江苏南京 159 06-29
南航田径场夜跑 1.27 08:20 2017-09-01 21:16:00 江苏南京 143 06-30
南航田径场夜跑 1.20 07:54 2017-09-20 19:54:00 江苏南京 160 06-30
南航田径场夜跑 1.33 08:42 2017-10-09 21:46:00 江苏南京 148 06-30
南航田径场夜跑 2.94 20:35 2017-10-10 21:59:00 江苏南京 170 06-59
南航田径场夜跑 1.10 09:38 2018-03-12 19:45:00 江苏南京 143 08-44
南航校外夜跑 2.06 17:40 2018-04-09 21:13:00 江苏南京 null 08-31
南航校园夜跑 3.56 31:44 2018-04-10 20:08:00 江苏南京 null 08-54
南航校园夜跑 2.92 28:09 2018-04-12 21:22:00 江苏南京 136 09-36
南航校园夜跑 0.52 03:36 2018-04-15 20:21:00 江苏南京 137 06-48
南航校园夜跑 2.64 23:12 2018-04-27 20:43:00 江苏南京 145 08-46
南航校园夜跑 0.59 04:38 2018-04-29 20:42:00 江苏南京 141 07-49
南航-跑步机 1.73 22:10 2018-05-03 19:24:00 江苏南京 129 12-45
南航校园夜跑 0.91 05:44 2018-05-23 21:06:00 江苏南京 null 06-15
南航校园夜跑 1.03 07:19 2018-05-26 21:03:00 江苏南京 144 07-04
南航校园夜跑 1.24 07:50 2018-05-29 20:26:00 江苏南京 147 06-15
南航校园夜跑 0.91 06:22 2018-06-02 20:07:00 江苏南京 139 06-56
南航校园夜跑 1.27 08:40 2018-06-03 19:48:00 江苏南京 147 06-47
南航校园夜跑 1.35 09:30 2018-06-06 20:16:00 江苏南京 156 06-59
南航校园夜跑 1.02 07:37 2018-06-07 21:31:00 江苏南京 142 07-24
国际关系学院夜跑 1.33 08:13 2018-06-11 20:24:00 北京海淀区 157 06-10
国际关系学院夜跑 0.42 02:46 2018-06-14 22:17:00 北京海淀区 139 06-33
国际关系学院夜跑 1.75 13:51 2018-06-15 20:54:00 北京海淀区 148 07-53
国际关系学院夜跑 1.13 08:41 2018-06-19 21:16:00 北京海淀区 151 07-38
国际关系学院夜跑 1.86 14:09 2018-06-30 19:51:00 北京海淀区 160 07-34
北京百度科技园 3.11 34:17 2018-07-01 19:50:00 北京海淀区 null 10-59
北京百度科技园 2.00 18:57 2018-07-21 16:37:00 北京海淀区 null 09-27
国际关系学院夜跑 1.14 08:40 2018-09-05 20:01:00 北京海淀区 null 07-31
赣榆新城夜跑 4.66 48:24 2018-10-01 21:31:00 江苏连云港 null 10-22
南航健身房 3.55 36:48 2019-01-12 16:03:00 江苏南京 154 10-21
南航健身房 3.15 31:21 2019-01-16 16:06:00 江苏南京 154 09-55
南航健身房 4.60 71:42 2019-01-19 14:47:00 江苏南京 133 15-35
南航健身房 4.31 39:59 2019-02-28 16:09:00 江苏南京 151 09-16
南航健身房 3.65 59:31 2019-03-10 11:58:00 江苏南京 123 16-18
南航健身房 3.30 24:08 2019-03-20 15:58:00 江苏南京 155 07-18
南航健身房 2.42 23:00 2019-04-30 16:47:00 江苏南京 150 09-28
南航健身房 2.11 20:51 2019-05-02 15:24:00 江苏南京 148 09-50
南航健身房 3.01 21:41 2019-05-11 15:41:00 江苏南京 153 07-12
南航健身房 4.02 31:55 2019-06-04 15:19:00 江苏南京 151 07-56
南航田径场夜跑 0.80 08:45 2019-08-06 20:23:00 江苏南京 156 10-53
南航田径场夜跑 1.56 16:46 2019-08-07 19:12:00 江苏南京 148 10-41
南航田径场夜跑 1.96 23:08 2019-08-11 20:04:00 江苏南京 151 11-45
南航田径场夜跑 1.59 16:44 2019-08-12 19:22:00 江苏南京 141 10-26
南航田径场夜跑 1.38 15:00 2019-08-13 19:37:00 江苏南京 154 10-48
南航田径场夜跑 2.08 17:05 2019-08-15 19:48:00 江苏南京 154 08-12
南航田径场夜跑 0.90 09:41 2019-08-18 20:03:00 江苏南京 148 10-42
南航田径场夜跑 1.48 16:31 2019-08-20 19:52:00 江苏南京 148 11-08
南航健身房 2.01 18:35 2019-08-23 16:34:00 江苏南京 156 09-14
南航田径场夜跑 0.88 08:39 2019-08-24 20:08:00 江苏南京 140 09-47
南航健身房 1.38 12:10 2019-08-28 20:50:00 江苏南京 167 08-45
赣榆新城夜跑 10.47 48:17 2019-08-30 20:13:00 江苏连云港 null 04-36
南航健身房 2.04 20:50 2019-09-07 15:26:00 江苏南京 161 10-11
南航健身房 1.72 15:15 2019-09-10 15:55:00 江苏南京 172 08-49
南航田径场夜跑 0.94 07:11 2019-09-15 19:46:00 江苏南京 148 07-35
南航健身房 1.35 12:06 2019-09-23 15:35:00 江苏南京 164 08-56
南航田径场夜跑 0.61 07:10 2019-09-28 19:45:00 江苏南京 156 11-40
南航健身房 1.59 15:21 2019-09-30 15:36:00 江苏南京 156 09-38
南航田径场夜跑 1.05 08:35 2019-10-02 19:47:00 江苏南京 96 08-06
南航健身房 2.54 25:40 2019-10-07 15:29:00 江苏南京 154 10-05
南航健身房 2.66 26:39 2019-10-16 15:35:00 江苏南京 153 09-59
